Instance,,,DynCA,,,,DynCA-short,,,,ScalableCA+,,,,HSCA+,,,,ScalableCA,,,,HSCA,
,,min.size,avg.size,time,,min.size,avg.size,time,,min.size,avg.size,time,,min.size,avg.size,time,,min.size,avg.size,time,,min.size,avg.size,time
phycore229x.cnf,,460,477.5,3507.5,,488,513.2,1785.8,,506,543.8,3577.5,,705,717.9,2952.3,,541,568.0,3578.7,,705,718.6,2947.9
picasso.cnf,,441,456.3,3489.9,,461,480.7,1740.4,,487,505.5,3519.1,,669,678.3,2423.7,,496,512.1,3525.8,,669,678.6,2391.9
pid.cnf,,406,425.2,3398.0,,426,448.9,1770.8,,472,486.6,3512.5,,619,630.4,2522.3,,463,472.2,3562.4,,619,632.0,2408.0
psim.cnf,,400,411.8,3411.6,,417,433.4,1749.4,,444,459.7,3527.9,,583,592.7,2395.5,,447,461.7,3480.2,,583,592.7,2357.4
rattler.cnf,,493,515.9,3468.4,,527,555.6,1766.8,,548,579.3,3545.1,,740,756.0,2960.2,,568,598.4,3563.5,,740,755.3,3000.0
ref4955.cnf,,407,424.0,3454.2,,428,447.0,1744.4,,474,480.1,3474.6,,627,638.9,2289.0,,451,479.9,3496.7,,627,640.0,2367.1
refidt334.cnf,,484,502.0,3451.5,,515,534.7,1764.3,,534,564.2,3563.3,,739,750.9,2731.1,,553,569.0,3549.9,,739,750.1,2742.6
sa1100mm.cnf,,409,421.8,3359.8,,434,448.9,1770.2,,458,467.6,3403.1,,612,627.2,2792.4,,461,474.1,3541.2,,612,625.9,2718.7
se7751.cnf,,512,529.1,3490.7,,544,566.6,1780.5,,584,597.7,3521.3,,785,801.9,2614.5,,567,613.8,3549.9,,785,803.4,2722.0
sh4_202_md.cnf,,511,525.8,3483.9,,527,556.7,1781.2,,574,586.1,3536.6,,770,786.1,2573.8,,581,600.8,3538.9,,770,785.6,2640.0
sh7708.cnf,,585,615.2,3472.6,,625,649.9,1777.7,,654,677.8,3519.4,,865,888.4,2294.5,,669,689.7,3490.7,,865,889.5,2275.8
skmb91302.cnf,,418,426.1,3461.8,,439,448.9,1769.1,,457,472.5,3456.0,,613,625.9,2495.7,,464,479.0,3555.8,,613,627.8,2432.8
sleb.cnf,,402,415.4,3428.4,,418,436.2,1769.1,,439,456.9,3499.6,,595,608.4,2545.0,,459,464.4,3511.0,,595,607.4,2533.9
smdk2410.cnf,,597,622.0,3481.5,,633,659.8,1732.9,,672,697.4,3515.2,,864,881.5,2732.5,,669,694.3,3534.4,,869,883.4,2720.2
snds.cnf,,437,446.7,3485.2,,461,475.9,1745.4,,479,491.9,3482.5,,642,658.1,2686.0,,483,496.5,3533.0,,646,659.6,2572.7
